iteration,total_molecules,top_molecules_found,best_score,time_per_iteration,experiment_id,n_initial_samples,n_iterations,budget_per_iteration,initial_selection_method,acquisition_function,total_runtime
1,520,2,-20.026234,2.7443645000457764,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
2,540,2,-20.026234,2.771898031234741,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
3,560,2,-20.026234,2.745819091796875,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
4,580,3,-20.026234,2.659167528152466,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
5,600,3,-20.026234,2.8825843334198,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
6,620,4,-20.026234,2.882711410522461,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
7,640,4,-20.026234,2.8620479106903076,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
8,660,4,-20.026234,2.7890660762786865,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
9,680,4,-20.026234,2.8051772117614746,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
10,700,4,-20.026234,2.7977073192596436,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
11,720,4,-20.026234,2.8287665843963623,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
12,740,5,-20.026234,2.8540735244750977,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
13,760,5,-20.026234,2.77270245552063,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
14,780,6,-20.026234,2.8157541751861572,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
15,800,7,-20.026234,2.7740254402160645,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
16,820,7,-20.026234,2.7641899585723877,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
17,840,7,-20.026234,2.9695687294006348,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
18,860,7,-20.026234,2.826387643814087,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
19,880,7,-20.026234,2.935256242752075,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
20,900,7,-20.026234,2.8955156803131104,init500_ran_acqgre_bud20_iter20_0323_1709,500,20,20,random,greedy,199.07674932479858
