r_i_docking_score,ZINC_ID,SMILES
-19.565813,ZINC000303479159,C[C@H](CCc1ccccc1)NC(=O)N[C@@H]1CCN(c2ccccc2Cl)C1=O
-19.547228,ZINC000447763881,COc1cccc(-c2c[nH]cc2C(=O)N[C@@H]2C[C@H]2c2cccc(F)c2)c1
-19.541798,ZINC001465235333,CCN(c1ccccc1)c1ccc(CNC(=O)c2ccc(-n3ccnc3O)cc2)cc1
-19.538343,ZINC000608860127,CN(Cc1ccccc1)C[C@H](O)COc1ccc(-c2ccc(C#N)cc2)cc1
-19.535625,ZINC001654171847,O=C(N1C[C@H](NC[C@H](O)COc2ccc3cc[nH]c3c2)Cc2ccccc21)C(F)(F)F
-19.531994,ZINC000740027544,N#Cc1ccc(-c2cccc(CNC(=O)NCCc3cn4ccccc4n3)c2)s1
-19.530712,ZINC001459751093,O=C(CCN[C@H](Cc1ccccc1)c1ccccc1)N1CCc2ccccc2C1
-19.52121,ZINC000490785755,Fc1cccc(C[C@@H](NCc2cnnn2Cc2ccccc2)c2cccc(F)c2)c1
-19.519394,ZINC001686410408,CSCc1ccc(CNC(=O)NC[C@@H]2CN(C)C[C@H]2c2ccccc2)cc1
-19.512693,ZINC001233974503,Cc1cc(CCNC(=O)NC[C@@H]2CN(C)C[C@H]2c2ccccc2)c(C)n1-c1ccccc1
-19.487236,ZINC000920541536,Cc1cnc(O)n1-c1ccc(C(=O)OCC(=O)Nc2ccc(Cl)c(Cl)c2)cc1
-19.459026,ZINC001461789463,O=C(CNCc1cccc(OCc2ccccc2F)c1)N1CCCCc2ccccc21
-19.455885,ZINC000652225310,O=C(NCCC1CCNCC1)NCc1ccc(COc2ccc(F)cc2)cc1
-19.44331,ZINC000745269021,O=C(COC(=O)c1c[nH]cc1-c1ccc(F)cc1)NCc1ccc(C(=O)N2CCCC2)cc1
-19.436237,ZINC001468256168,O=C(NC[C@@H]1CCCO[C@@H]1c1ccccc1)N[C@@H]1CCN(c2ccc(Cl)cc2F)C1
-19.433498,ZINC000767541379,C[C@@H](OC(=O)CCNC(=O)C12CC3CC(CC(C3)C1)C2)C(=O)c1c[nH]c2ncccc12
-19.432787,ZINC000589048353,C[C@@H](NC(=O)N[C@H](Cc1ccccc1Cl)c1ccccc1)c1ccc2nc(O)[nH]c2c1
-19.424219,ZINC000055371947,O=C1C[C@H](N2CCC(c3ccc(O)cc3)CC2)C(=O)N1c1ccc2ccccc2c1
-19.422371,ZINC001338261567,O=C(NCc1ccc(COc2ccccc2)cc1)N[C@@H]1CCCN(C(=O)c2ccccc2)C1
-19.41786,ZINC000057130096,O=C(NC[C@H]1CCN(c2ccccc2)C1)N[C@@H](CC(F)(F)F)c1ccccc1
-19.403837,ZINC001634805906,CN1C[C@@H](CNC(=O)N[C@@H]2C[C@H]2c2ccc(F)cc2)[C@H](c2ccccc2)C1
-19.397478,ZINC001171412096,COc1ccc(Cn2cncc2CN[C@@H]2CCc3c(F)cccc3C2)cc1
-19.391073,ZINC001539582397,O=C(N[C@@H]1CCCN(c2ccc(OC(F)F)cc2)C1)c1nc2ccccc2cc1Cl
-19.385519,ZINC000811267126,O=C(COC(=O)C1(c2ccccc2)CC(=O)C1)NCc1ccc(COc2ccccc2)cc1
-19.378458,ZINC000475250771,Cn1c(O)nc2ncc(-c3cccc(C(=O)N4CCC(c5cccc6ccccc65)CC4)c3)cc21
-19.377001,ZINC000532837933,CCc1ccc([C@@H](CO)NC(=O)N[C@@H](c2ccccc2)c2ccccn2)cc1
-19.373142,ZINC001252399316,O[C@@H](CN[C@H]1CCc2c3ccccc3[nH]c2C1)COc1cccc2ccccc21
-19.36669,ZINC001564733878,CN1CCC[C@H]1CNC(=O)NCc1cccc(Oc2ccc3ccccc3c2)c1
-19.360363,ZINC001190057763,CCOc1cccc([C@@H](C)NC(=O)NC2c3ccccc3-c3ccccc32)c1
-19.353474,ZINC000145915715,Cc1c[nH]c(=O)n1-c1ccc(C(=O)OCC(=O)NCCO[C@H]2CCCC[C@H]2C)cc1
-19.349646,ZINC001263645731,O=C(Nc1cc2c(nc1O)CCCC2)N1CCC(c2ccc3[nH]ccc3c2)CC1
-19.34907,ZINC001311424091,Cc1cc(C)n(-c2ccc(CCNC(=O)NC[C@@H]3CN(C)C[C@H]3c3ccccc3)cc2)n1
-19.336773,ZINC000745626666,C[C@@H](OC(=O)[C@H]1CCc2c[nH]nc2C1)C(=O)Nc1ccc(Cl)c(C(F)(F)F)c1
-19.326307,ZINC000432337155,CCN(c1ccccc1)c1cc(NCCC(=O)N2CCN(c3ccccn3)CC2)ncn1
-19.325132,ZINC000105454625,C=CCn1c2nnc(SCC(=O)Nc3ccc(N4CCNC4=O)cc3)n2c2ccccc2c1=O
-19.321062,ZINC001477447926,CCCCc1ccc([C@H](NC(=O)N[C@@H]2c3ccccc3CN(C)C2=O)C(C)C)cc1
-19.31382,ZINC000841305693,NCc1cccc(NC(=O)N[C@@H]2CCCN(c3ccc(OC(F)F)cc3)C2)c1
-19.312988,ZINC001191289864,CC(=O)c1ccc(NC(=O)c2cc(-c3ccc(OCc4ccccc4)cc3)[nH]n2)c(F)c1
-19.312708,ZINC000108801437,Cc1c[nH]c(=O)n1-c1ccc(C(=O)OCC(=O)Nc2ccc(Cl)c(S(=O)(=O)N(C)C)c2)cc1
-19.3009,ZINC001468217733,C=CCC[C@H](NC(=O)NC[C@H]1CCN(c2ccc(F)cc2)C1)c1ccccc1
-19.295418,ZINC000644642628,O[C@@H](CNCCc1ccc2c[nH]nc2c1)Cc1ccccc1C(F)(F)F
