PUBCHEM_SUBSTANCE_ID,smiles,max_dice_sim
17096495,CCOc1cc(Cl)c(C(C)NC(=O)c2ccc(OC)cc2)cc1OCC,0.8735632183908046
16984030,CCOc1ccc(C2Sc3ccccc3N=C3C2=C(O)c2ccccc23)cc1,0.8735632183908046
162163874,OCCNc1c2c(nc3ccccc13)CCCC2,0.8732394366197183
17024644,CCOC(=O)C1=C(C)N=c2s/c(=C\c3cc(OC)ccc3OC)c(=O)n2C1c1ccc(Cl)cc1,0.873015873015873
17006258,CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(OC)cc3OC)c(=O)n2C1c1ccc(Cl)cc1,0.873015873015873
16983292,CCOC(=O)C1=C(C)N=c2s/c(=C/c3cccs3)c(=O)n2C1c1ccc(OC)c2ccccc12,0.873015873015873
439941952,CC1CCN(CC(O)COc2ccccc2C(=O)CCc2ccccc2)CC1,0.8723404255319149
17096492,CCOc1cc(Cl)c(C(C)NC(=O)c2ccccc2Cl)cc1OCC,0.8717948717948718
17028452,CC(C)c1ccc(C2Sc3ccccc3NC3=C2C(=O)c2ccccc23)cc1,0.8717948717948718
195198869,Cc1ccccc1NC(=O)c1ccc(-c2ccc(Cl)cc2Cl)o1,0.8674698795180723
17136437,N#Cc1c2c(c(N3CCN(c4ccccc4)CC3)n3c1nc1ccccc13)CCCC2,0.8666666666666667
16972784,N#Cc1c2c(c(N3CCOCC3)n3c1nc1ccccc13)CCC2,0.8666666666666667
17126036,CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccc(OC)c4ccccc34)c(=O)n2C1c1ccccc1Cl,0.8661417322834646
16983290,CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccc(Cl)cc3)c(=O)n2C1c1ccc(OC)c2ccccc12,0.8661417322834646
16982576,CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccccc3O)c(=O)n2C1c1cc(OC)c(OC)cc1Br,0.8661417322834646
144088529,O=C(Nc1nc2ccccc2s1)c1ccc(C(F)(F)F)cc1,0.8648648648648649
134419822,Cc1ccc(C(=O)NC2CCN(Cc3ccccc3)CC2)cc1,0.8648648648648649
22396515,CN(C)CCNc1ccnc2cc(Cl)ccc12,0.8648648648648649
17006616,O=C(NC1CCN(Cc2ccccc2)CC1)c1ccc(F)cc1,0.8648648648648649
26700105,COc1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(F)cc2)cc1,0.8636363636363636
16983291,CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccc(O)c(OCC)c3)c(=O)n2C1c1ccc(OC)c2ccccc12,0.8636363636363636
24379308,COc1cc(CNCC(O)c2ccccc2)cc(Cl)c1OCC(N)=O,0.8631578947368421
16961864,CCOC(=O)c1cnc2ccc(OC)cc2c1Nc1ccc(OC)cc1,0.8627450980392157
24711794,OC(CNCc1ccc(-c2ccccc2)cc1)c1ccccc1,0.8620689655172413
24711588,Clc1ccc(N2CCN(c3ccnc4cc(Cl)ccc34)CC2)cc1,0.8615384615384616
22396439,CN1CCN(c2ccnc3cc(Cl)ccc23)CC1,0.8615384615384616
17099424,Cc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1F,0.8615384615384616
24844287,Cc1ccc(C(=O)Nc2nc3ccccc3s2)cc1,0.8611111111111112
164336103,COC(=O)c1cccc(C(=O)NC2CCN(Cc3ccccc3)CC2)c1,0.8607594936708861
17047102,CC(C)(C)c1ccc(C2Sc3ccccc3NC3=C2C(=O)c2ccccc23)cc1,0.8607594936708861
17046266,O=C1C2=C(Nc3ccccc3SC2c2cccc(O)c2)c2ccccc21,0.8607594936708861
17001744,COc1ccc(-c2cc3nc4c(c(O)n3n2)CCCC4)cc1,0.8607594936708861
17124338,Cc1ccc2[nH]c(-c3ccc(NC(=O)c4cccc(Br)c4)cc3)nc2c1,0.8602150537634409
17096054,CCOC(=O)C1=C(C)N=c2s/c(=C\c3cccn3C)c(=O)n2C1c1ccc(OC)c2ccccc12,0.859375
164168349,COc1cc(C(=O)Nc2cc(-c3nc4ccccc4[nH]3)ccc2C)cc(OC)c1OC,0.8571428571428571
49699673,Cc1cccc(C(=O)NC2CCN(Cc3ccccc3)CC2)c1,0.8571428571428571
17086799,O=C(NC1CCCCC1)c1cc2nc(-c3ccc(Cl)s3)cc(C(F)(F)F)n2n1,0.8547008547008547
17148630,O=C(Nc1ccc(CN2CCOCC2)cc1)c1cc(Cl)ccc1Cl,0.8539325842696629
17024763,CCCCn1c(=N)n(CC(O)COc2ccccc2)c2ccccc21,0.8539325842696629
363681570,OC(Cn1nnc2ccccc21)Cn1c2ccccc2c2ccccc21,0.8533333333333334
96022885,O=C(Nc1cccc(C(F)(F)F)c1)c1ccc(Cl)cc1Cl,0.8533333333333334
16996967,CCOC(=O)c1cnc2c(Br)cccc2c1O,0.8533333333333334
17129493,CCOC(=O)C1=C(C)N=c2s/c(=C/c3cc(OC)c(OC)cc3OC)c(=O)n2C1c1ccc(OC)cc1,0.8524590163934426
17034584,CCOC(=O)C1=C(C)N=c2s/c(=C\c3cc(OC)ccc3OC)c(=O)n2C1c1ccc(OC)cc1,0.8524590163934426
16973042,N#Cc1c2c(c(N3CCN(c4ccc(Cl)cc4)CC3)n3c1nc1ccccc13)CCC2,0.851063829787234
17110004,CCOC(=O)C1=C(C)N=c2s/c(=C\c3cc(Cl)ccc3OC)c(=O)n2C1c1ccc(F)cc1,0.8503937007874016
56364655,Cc1cccc(-c2cc3nc4c(c(O)n3n2)CCC4)c1,0.85
