iteration,total_molecules,top_molecules_found,best_score,time_per_iteration
1,5250,18,-20.596266,2.977570056915283
2,5500,30,-20.596266,3.085582971572876
3,5750,45,-20.596266,2.594169855117798
4,6000,60,-20.660721,2.7394180297851562
5,6250,77,-20.660721,2.6075990200042725
6,6500,87,-20.660721,2.7796456813812256
7,6750,94,-20.660721,2.533440351486206
8,7000,99,-20.660721,2.558523416519165
9,7250,100,-20.660721,2.5247597694396973
10,7500,100,-20.660721,2.6857516765594482
